image_id,street,citi,n_citi,bed,bath,sqft,price
88,226 Spruce Street,"Tehachapi, CA",367,4,2.1,1967,249950
89,2818 Trakell Street,"Rosamond, CA",312,3,2,1433,260000
90,206 Cummings Valley Boulevard,"Tehachapi, CA",367,3,2,2435,284900
91,9225 Rea Avenue,"California City, CA",57,5,3,2065,249000
92,3200 Pesante Road,"Bakersfield, CA",24,3,2.1,1838,265000
93,1509 Silk Tree,"Bakersfield, CA",24,3,2,1683,290000
94,3411 Dakota Street,"Rosamond, CA",312,5,2,1837,260000
95,3319 Garnet Avenue,"Rosamond, CA",312,3,2,1630,259900
96,6788 Lakeview Drive,"Frazier Park, CA",122,3,2,1198,280000
97,19700 Breeze Place,"Tehachapi, CA",367,3,2,1512,274999
98,10017 Laurie Avenue,"Bakersfield, CA",24,3,2,1515,275000
99,9825 Karen Ave,"California City, CA",57,4,2.1,1996,269669
100,11801 Pasture Avenue,"Tehachapi, CA",367,4,3.1,3648,249000
101,9721 Manhattan Drive,"Bakersfield, CA",24,3,2,1316,275000
102,8315 Hemlock Court,"Bakersfield, CA",24,3,2.1,1608,250000
103,3808 Whirlwind Drive,"Bakersfield, CA",24,5,2.1,2228,299000
104,2310 St Bernard Drive,"Pine Mountain Club, CA",282,3,2,1800,270000
105,608 Poinsettia Avenue,"Rosamond, CA",312,3,2,1425,255000
106,20844 Village,"California City, CA",57,4,3,1991,265000
107,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2,1735,295000
108,13631 Foyers Fall Dr,"Bakersfield, CA",24,4,2,1639,295000
109,2822 Dixie Street,"Rosamond, CA",312,3,2,1500,245000
110,15505 Nesthorn Way,"Pine Mountain Club, CA",282,2,2,1137,259000
111,1665 E Balboa Avenue,"Mojave, CA",220,6,5,2352,300000
112,9840 Margery Avenue,"California City, CA",57,3,2,2400,258000
113,4048 Summit Drive,"Frazier Park, CA",122,3,3.1,1526,275000
114,3142 Carnation St.,"Rosamond, CA",312,3,2,1687,260000
115,3321 Santa Clara Trail,"Frazier Park, CA",122,3,2.1,1558,295000
116,2309 Symonds Drive,"Pine Mountain Club, CA",282,2,2,1378,249000
117,2600 Westland Drive,"Rosamond, CA",312,3,2,1473,269900
118,6614 Clear Water Creek Way,"Bakersfield, CA",24,4,3,1982,299900
119,904 Yosemite Drive,"Lebec, CA",196,3,2,1800,259000
120,21410 Brook Drive,"Tehachapi, CA",367,3,2,1320,249000
121,4213 Spruce,"Frazier Park, CA",122,3,2,1665,289000
122,1456 BRADFORD Avenue,"Rosamond, CA",312,3,2,1484,255000
123,27509 Prospect Street,"Boron, CA",45,3,2,1800,299000
124,2516 Arbor Drive,"Frazier Park, CA",122,3,2,2176,260000
125,2101 Freeman Drive,"Frazier Park, CA",122,3,3,1376,269900
126,24440 Jacaranda Drive,"Tehachapi, CA",367,4,2,1888,255000
127,1604 Banff,"Pine Mountain Club, CA",282,3,3,1293,279000
128,604 Canyon Drive,"Lebec, CA",196,3,3,2479,299500
129,1425 Zion Way,"Pine Mountain Club, CA",282,4,2.1,1579,279000
130,19701 Pine Ridge Drive,"Tehachapi, CA",367,3,3,2354,249000
131,1826 Zermatt Drive,"Pine Mountain Club, CA",282,3,2.2,1426,249000
132,1425 Dogwood,"Pine Mountain Club, CA",282,2,2,1520,265000
133,16800 Aleutian Drive,"Pine Mountain Club, CA",282,3,2,1920,275000
134,4100 N End Drive,"Frazier Park, CA",122,3,2,1836,274900
135,1620 Bernina Drive,"Pine Mountain Club, CA",282,3,2,1688,274960
136,9316 Carvalho Court,"Bakersfield, CA",24,3,2,1411,250000
137,126 Pinon Street,"Frazier Park, CA",122,4,2.1,1897,285000
138,2604 Basel Court,"Pine Mountain Club, CA",282,2,2,1733,278300
139,4001 Los Padres Drive,"Frazier Park, CA",122,2,2,1536,245000
140,1812 Poplar Way,"Pine Mountain Club, CA",282,3,2.1,1712,285000
141,9501 Redwood Boulevard,"California City, CA",57,3,2,1400,249000
142,2624 Basel Court,"Pine Mountain Club, CA",282,3,2,1459,299000
143,1801 Freeman Drive,"Frazier Park, CA",122,3,2,1380,249900
144,2325 Cypress Way,"Pine Mountain Club, CA",282,3,2.1,1728,299000
145,20121 Airway Boulevard,"California City, CA",57,3,3.1,2571,275000
146,2300 Askin Court,"Pine Mountain Club, CA",282,4,3,2300,299000
147,14920 Geneva Court,"Pine Mountain Club, CA",282,3,2,1344,279000
148,1612 Zermatt Drive,"Pine Mountain Club, CA",282,3,2,1536,278888
149,24575 Sarida Avenue,"Tehachapi, CA",367,3,1,1368,300000
150,2312 Dom Court,"Pine Mountain Club, CA",282,3,2,1792,299000
151,5315 Mountain Plover Avenue,"Bakersfield, CA",24,3,2.1,2011,339900
152,2336 Newberry Street,"Rosamond, CA",312,5,3.1,2557,344500
153,29201 N Lower Valley Road,"Tehachapi, CA",367,4,2,1703,315000
154,1601 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1615,329900
155,27720 Oakflat Drive,"Tehachapi, CA",367,3,3,1656,355000
156,4205 Marella Way,"Bakersfield, CA",24,4,3,2792,325000
157,3433 Summer Breeze Avenue,"Rosamond, CA",312,4,2.1,1831,319900
158,901 Eagle Lane,"Frazier Park, CA",122,4,2,2216,349000
159,22816 Yeager Court,"Tehachapi, CA",367,3,2,1685,339000
160,6725 Paper Birch Lane,"Bakersfield, CA",24,4,2,1838,315000
161,4017 Aero Way,"Rosamond, CA",312,4,3,1689,315000
162,11104 Cypress Falls Ave,"Bakersfield, CA",24,4,2,2043,335000
163,8043 Mojave-Tropico,"Mojave, CA",220,3,2.1,2112,330000
164,3808 Whirlwind Drive,"Bakersfield, CA",24,5,2.1,2228,299000
165,1167 Alder Avenue,"Tehachapi, CA",367,3,2,1833,340000
166,3445 Quiet Splendor Court,"Rosamond, CA",312,4,2.1,2498,349990
167,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2,1735,295000
168,13631 Foyers Fall Dr,"Bakersfield, CA",24,4,2,1639,295000
169,29851 Starland,"Tehachapi, CA",367,3,2,1954,309900
170,2411 Crimson Avenue,"Rosamond, CA",312,5,3.1,2637,350000
171,10240 Redwood Boulevard,"California City, CA",57,5,4,2631,311000
172,2894 Delmar Avenue,"Mojave, CA",220,3,2.1,1622,319000
173,1665 E Balboa Avenue,"Mojave, CA",220,6,5,2352,300000
174,19225 Jacks Hill Road,"Stallion Springs, CA",357,4,2,2302,344900
175,1301 Princeton,"Bakersfield, CA",24,3,3,2639,329999
176,1700 Bernina Drive,"Pine Mountain Club, CA",282,3,1.2,2304,329900
177,1309 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,1640,335000
178,3321 Santa Clara Trail,"Frazier Park, CA",122,3,2.1,1558,295000
179,6614 Clear Water Creek Way,"Bakersfield, CA",24,4,3,1982,299900
180,29500 Butterfield Way,"Tehachapi, CA",367,3,2,1883,329000
181,27509 Prospect Street,"Boron, CA",45,3,2,1800,299000
182,431 Butler Road,"Bakersfield, CA",24,5,4,3865,349900
183,3540 Gold Crest Lane,"Rosamond, CA",312,4,3.1,1987,316900
184,612 Dennison Lane,"Bakersfield, CA",24,3,2,2248,336800
185,5310 Fountain Grass Avenue,"Bakersfield, CA",24,5,3,2972,349000
186,22321 Briarwood Street,"Tehachapi, CA",367,4,2,1962,329999
187,9216 Whispering Pines Road,"Frazier Park, CA",122,4,2.1,1856,328000
188,26990 Owl Court,"Tehachapi, CA",367,4,2,2065,317000
189,604 Canyon Drive,"Lebec, CA",196,3,3,2479,299500
190,2321 Zermatt,"Pine Mountain Club, CA",282,3,2.1,2072,338000
191,2222 Gimmewald Place,"Pine Mountain Club, CA",282,2,1,852,350000
192,1408 Banff Drive,"Pine Mountain Club, CA",282,3,2,2380,349000
193,1013 Laura Lane,"Tehachapi, CA",367,5,3.1,2725,345000
194,2624 Basel Court,"Pine Mountain Club, CA",282,3,2,1459,299000
195,9950 Karen Avenue,"California City, CA",57,3,2.1,2214,314900
196,2325 Cypress Way,"Pine Mountain Club, CA",282,3,2.1,1728,299000
197,1241 N Mayflower Circle,"Ridgecrest, CA",308,6,4,2608,339900
198,9705 Bossa Nova Court,"Bakersfield, CA",24,3,2,1840,324999
199,18611 Mustang Drive,"Tehachapi, CA",367,3,2.1,3046,349000
200,2300 Askin Court,"Pine Mountain Club, CA",282,4,3,2300,299000
201,2312 Ironwood,"Pine Mountain Club, CA",282,4,3,1680,329000
202,24575 Sarida Avenue,"Tehachapi, CA",367,3,1,1368,300000
203,3212 Tumble Weed Avenue,"Rosamond, CA",312,4,2.1,2700,360000
204,1804 St Anton Drive,"Pine Mountain Club, CA",282,3,2,1958,398500
205,3068 Lebec Oaks Rd,"Lebec, CA",196,2,2,1644,369000
206,28840 Gleneagle Court,"Tehachapi, CA",367,3,3,2052,365000
207,27720 Oakflat Drive,"Tehachapi, CA",367,3,3,1656,355000
208,12407 Gila River Drive,"Bakersfield, CA",24,3,2.1,2296,388000
209,901 Eagle Lane,"Frazier Park, CA",122,4,2,2216,349000
210,7303 Glitter Way,"Bakersfield, CA",24,4,3.1,3249,399000
211,12102 Rodeo Ave,"Bakersfield, CA",24,5,3,3188,399900
212,2208 Zermatt Drive,"Pine Mountain Club, CA",282,4,4,2523,375888
213,2037 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1837,357000
214,181 Panorama Drive,"Kernville, CA",164,3,2.1,2125,389900
215,3445 Quiet Splendor Court,"Rosamond, CA",312,4,2.1,2498,349990
216,29580 Butterfield Way,"Tehachapi, CA",367,3,2,2325,369900
217,2411 Crimson Avenue,"Rosamond, CA",312,5,3.1,2637,350000
218,29442 Fawn Way,"Tehachapi, CA",367,4,2,2252,388950
219,2301 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2000,399000
220,11409 Revolution Road,"Bakersfield, CA",24,5,3.1,2527,359900
221,19072 Pine Summit Court,"Tehachapi, CA",367,3,2,1762,365000
222,14013 Yellowstone Drive,"Frazier Park, CA",122,4,4,2900,359000
223,2987 Lebec Oaks Road,"Lebec, CA",196,3,2,2287,369963
224,14417 Yosemite Court,"Frazier Park, CA",122,4,3.1,2546,379900
225,1114 Snowline Drive,"Frazier Park, CA",122,3,3.1,2075,399000
226,431 Butler Road,"Bakersfield, CA",24,5,4,3865,349900
227,5310 Fountain Grass Avenue,"Bakersfield, CA",24,5,3,2972,349000
228,24550 Hart Drive,"Tehachapi, CA",367,4,2,2372,374000
229,1401 60th Street W,"Rosamond, CA",312,5,3,2760,375000
230,15448 Shasta Way,"Pine Mountain Club, CA",282,3,2.1,2230,369900
231,28037 wyly Court,"Keene, CA",163,2,2,1104,395000
232,16501 Grizzly Drive,"Pine Mountain Club, CA",282,4,3,2570,369900
233,6926 Panama Road,"Bakersfield, CA",24,4,3,3071,395000
234,16509 Oakwood Way,"Bakersfield, CA",24,4,3,2592,379900
235,10009 Barnes Drive,"Bakersfield, CA",24,4,3.1,2368,399990
236,2222 Gimmewald Place,"Pine Mountain Club, CA",282,2,1,852,350000
237,1408 Banff Drive,"Pine Mountain Club, CA",282,3,2,2380,349000
238,1013 Laura Lane,"Tehachapi, CA",367,5,3.1,2725,345000
239,14332 Voltaire Drive,"Pine Mountain Club, CA",282,3,2.1,2196,356900
240,2041 St Bernard Drive,"Frazier Park, CA",122,3,3,2389,389000
241,4321 Logan Trail,"Frazier Park, CA",122,4,3,2746,379000
242,18611 Mustang Drive,"Tehachapi, CA",367,3,2.1,3046,349000
243,15623 K Street,"Mojave, CA",220,4,4,1687,400000
244,1804 St Anton Drive,"Pine Mountain Club, CA",282,3,2,1958,398500
245,28721 Delaware Place,"Tehachapi, CA",367,3,2.1,2753,439000
246,49820 Gorman Post Road,"Gorman, CA",129,3,3,2503,449000
247,7303 Glitter Way,"Bakersfield, CA",24,4,3.1,3249,399000
248,7001 Creemore Street,"Bakersfield, CA",24,4,3.1,3578,449900
249,12102 Rodeo Ave,"Bakersfield, CA",24,5,3,3188,399900
250,11317 Silver Crown Avenue,"Bakersfield, CA",24,4,2.1,2496,419000
251,3416 Kansas,"Frazier Park, CA",122,3,2,2620,439000
252,25408 Roost Avenue,"Tehachapi, CA",367,3,3,2265,429000
253,2301 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2000,399000
254,2407 Sunrise Drive,"Bakersfield, CA",24,4,3,2475,425000
255,1114 Snowline Drive,"Frazier Park, CA",122,3,3.1,2075,399000
256,1421 Woodland Drive,"Pine Mountain Club, CA",282,3,3,1915,423000
257,1720 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2570,439000
258,28037 wyly Court,"Keene, CA",163,2,2,1104,395000
259,6926 Panama Road,"Bakersfield, CA",24,4,3,3071,395000
260,10009 Barnes Drive,"Bakersfield, CA",24,4,3.1,2368,399990
261,6982 Caliente Bodfish Road,"Caliente, CA",56,5,4,3538,450000
262,24281 Bowen,"Tehachapi, CA",367,3,2,2638,424998
263,2801 Arctic Drive,"Pine Mountain Club, CA",282,4,3.1,3744,445000
264,2117 Cypress Way,"Pine Mountain Club, CA",282,4,4.1,5300,449000
265,16725 Sequoia Way,"Pine Mountain Club, CA",282,4,3.1,2753,425000
266,2436 Antelope Way,"Pine Mountain Club, CA",282,4,4.1,3855,425000
267,15623 K Street,"Mojave, CA",220,4,4,1687,400000
268,1700 Zion Way,"Pine Mountain Club, CA",282,4,2.1,2962,490000
269,12101 Riverfront Park Drive,"Bakersfield, CA",24,4,2.1,3136,469000
270,49820 Gorman Post Road,"Gorman, CA",129,3,3,2503,449000
271,7001 Creemore Street,"Bakersfield, CA",24,4,3.1,3578,449900
272,2709 Villalovos Court,"Bakersfield, CA",24,10,8,3784,475000
273,8410 Exodus Lane,"Bakersfield, CA",24,4,3,2521,475000
274,1217 Azalea Drive,"Pine Mountain Club, CA",282,3,2,2150,495500
275,23601 Stacy Court,"Tehachapi, CA",367,5,2.1,3752,489000
276,6982 Caliente Bodfish Road,"Caliente, CA",56,5,4,3538,450000
277,2801 Arctic Drive,"Pine Mountain Club, CA",282,4,3.1,3744,445000
278,2117 Cypress Way,"Pine Mountain Club, CA",282,4,4.1,5300,449000
279,17820 Lockwood Valley Road,"Frazier Park, CA",122,3,2,1200,485000
280,2532 Brentwood Place,"Pine Mountain Club, CA",282,5,3.1,3300,499000
281,2513 Beechwood Way,"Pine Mountain Club, CA",282,3,3.1,2475,535000
282,1217 Azalea Drive,"Pine Mountain Club, CA",282,3,2,2150,495500
283,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000
284,26640 Oakflat Drive,"Tehachapi, CA",367,3,2.1,3443,545000
285,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000
286,3379 50th Street W,"Rosamond, CA",312,6,5,3942,550000
287,4609 Diamond Bay Drive,"Arvin, CA",20,4,3,2785,550000
288,2405 Cedarwood Drive,"Pine Mountain Club, CA",282,5,4.1,5322,549000
289,2921 Barrowby Street,"Bakersfield, CA",24,5,2.1,3103,550000
290,24351 Deertrail Drive,"Bear Valley Springs, CA",28,4,3,3001,545000
291,1766 Fir Drive,"Wofford Heights, CA",409,3,3,2466,524000
292,2532 Brentwood Place,"Pine Mountain Club, CA",282,5,3.1,3300,499000
293,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000
294,26640 Oakflat Drive,"Tehachapi, CA",367,3,2.1,3443,545000
295,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000
296,3379 50th Street W,"Rosamond, CA",312,6,5,3942,550000
297,4609 Diamond Bay Drive,"Arvin, CA",20,4,3,2785,550000
298,2405 Cedarwood Drive,"Pine Mountain Club, CA",282,5,4.1,5322,549000
299,2921 Barrowby Street,"Bakersfield, CA",24,5,2.1,3103,550000
300,24351 Deertrail Drive,"Bear Valley Springs, CA",28,4,3,3001,545000
301,13100 Franceschi Road,"Caliente, CA",56,2,1,1480,599000
302,16200 Brimhall Road,"Bakersfield, CA",24,6,3,2730,649999
303,4400 Country Club Drive,"Bakersfield, CA",24,4,3,3472,619999
304,20005 Sasia Road,"Tehachapi, CA",367,4,3,4510,645000
305,13100 Franceschi Road,"Caliente, CA",56,2,1,1480,599000
306,16200 Brimhall Road,"Bakersfield, CA",24,6,3,2730,649999
307,63 White Lane,"Bakersfield, CA",24,2,1,1092,699000
308,5051 Creekside Dr Road,"Arvin, CA",20,4,4,4111,699000
309,20005 Sasia Road,"Tehachapi, CA",367,4,3,4510,645000
310,11436 Cuddy Valley Road,"Frazier Park, CA",122,4,2,3383,715000
311,100492 Boggy Meadows Road,"Inyokern, CA",156,5,3,3000,750000
312,2801 Sheltenham Way,"Bakersfield, CA",24,4,2.1,3221,747000
313,22020 Stockdale,"Bakersfield, CA",24,5,4,5085,719000
314,63 White Lane,"Bakersfield, CA",24,2,1,1092,699000
315,5051 Creekside Dr Road,"Arvin, CA",20,4,4,4111,699000
316,17625 Saddle Mountain Drive,"Bakersfield, CA",24,5,3,5832,799500
317,100492 Boggy Meadows Road,"Inyokern, CA",156,5,3,3000,750000
318,18360 Buckaroo Court,"Bakersfield, CA",24,4,2.1,2901,799000
319,2801 Sheltenham Way,"Bakersfield, CA",24,4,2.1,3221,747000
320,11717 Harrington Street,"Bakersfield, CA",24,5,4.1,4481,760000
321,17625 Saddle Mountain Drive,"Bakersfield, CA",24,5,3,5832,799500
322,18360 Buckaroo Court,"Bakersfield, CA",24,4,2.1,2901,799000
323,8623 Deer Trail,"Frazier Park, CA",122,4,3.2,4390,829000
324,14934 Henderson Avenue,"Bakersfield, CA",24,7,4.1,5082,949000
325,12869 Sierra Way,"Kernville, CA",164,3,2,2686,995000
326,4332 BEN Avenue,"Studio City, CA",360,3,2,2185,1095000
327,4321 BELLAIRE Avenue,"Studio City, CA",360,3,2,1671,1225000
328,1345 Selvas Place,"Glendale, CA",126,3,2,1635,1075000
329,4911 N Algoma,"Eagle Rock, CA",106,3,3,1980,1449700
330,28614 Mount Lassen Lane,"Rancho Palos Verdes, CA",301,4,2,2100,1049000
331,21745 ybarra Road,"Woodland Hills, CA",410,4,3,2568,1100000
332,121 S Bluff Road,"Montebello, CA",223,6,5,2625,1080000
333,8630 STANMOOR Drive,"Los Angeles, CA",207,2,2,1834,1395000
334,4709 Lindblade Drive,"Culver City, CA",94,3,3,1382,1229000
335,23230 Ladrillo Street,"Woodland Hills, CA",410,4,4,2308,1195000
336,7040 E Mezzanine Way,"Long Beach, CA",204,4,2,2055,1195000
337,20540 Gartel Drive,"Walnut, CA",395,4,4,3348,1033000
338,1917 S POINT VIEW Street,"Los Angeles, CA",207,3,2,2162,1299000
339,4030 W 60TH Street,"Los Angeles, CA",207,3,2.1,1970,1175000
340,1912 Saleroso Drive,"Rowland Heights, CA",315,4,3,3219,1038000
341,5353 Huntington Drive N,"Los Angeles, CA",207,2,1,1054,999999
342,4208 Tulane Avenue,"Long Beach, CA",204,5,4,3850,1423500
343,4835 Algoma Avenue,"Los Angeles, CA",207,3,2,1646,1079000
344,19800 Winged Foot Way,"Porter Ranch, CA",292,4,5,3923,1149000
345,21117 Placerita Canyon Road,"Newhall, CA",239,3,3,2176,1089000
346,19944 E Lorencita Drive,"Covina, CA",91,4,4,3212,1188000
347,725 NAVY Street,"Santa Monica, CA",337,2,1,1064,1450000
348,2815 Huntington Drive,"San Marino, CA",328,3,2,1509,1188000
349,20419 RUSTON Road,"Woodland Hills, CA",410,3,3,2338,1095000
350,611 N CURSON Avenue,"Los Angeles, CA",207,2,1,957,1499000
351,1163 S MUIRFIELD Road,"Los Angeles, CA",207,3,2,1623,1075000
352,30034 Torrepines Place,"Agoura Hills, CA",3,4,3,3003,1130000
353,25061 River Walk Lane,"Stevenson Ranch, CA",359,4,3,3193,1097000
354,4806 Commonwealth Avenue,"La Canada Flintridge, CA",165,3,2,1302,999999
355,300 E Magna Vista Avenue,"Arcadia, CA",16,4,3,2406,1348000
356,1380 Rexford Avenue,"Pasadena, CA",274,4,3,1874,1150000
357,818 Penn Street,"El Segundo, CA",112,2,1,1057,1400000
358,160 Club Road,"Pasadena, CA",274,4,3,3122,1499900
359,1211 N Los Robles Avenue,"Pasadena, CA",274,6,4,3145,1077500
360,18939 Westleigh Place,"Rowland Heights, CA",315,4,3,2866,1200000
361,21634 E Sleepy Hollow Court,"Walnut, CA",395,4,3,2484,1150000
362,10169 Rio Hondo,"El Monte, CA",111,6,3,3129,995900
363,23813 LADEENE Avenue,"Torrance, CA",376,4,2,1923,1095000
364,3800 Cherrywood Avenue,"Los Angeles, CA",207,3,2,1758,1200000
365,4425 SAINT CLAIR Avenue,"Studio City, CA",360,3,2,1250,1175000
366,2620 RUTHERFORD Drive,"Los Angeles, CA",207,2,2,1713,1329500
367,2321 LAKE VIEW Avenue,"Los Angeles, CA",207,3,2,1600,1199000
368,775 Havana Avenue,"Long Beach, CA",204,3,1,1883,1200000
369,1042 CORONADO Terrace,"Los Angeles, CA",207,2,2,1072,1099000
370,12047 ANETA Street,"Culver City, CA",94,2,1,1034,1050000
371,5228 SIERRA VILLA Drive,"Los Angeles, CA",207,3,2,1426,1198000
372,5724 Manton Avenue,"Woodland Hills, CA",410,3,2,2021,1275000
373,3274 Olive Avenue,"Altadena, CA",10,3,4,2937,1200000
374,10763 Charnock Road,"Los Angeles, CA",207,3,2,1293,1198900
375,163 Syracuse Walk,"Long Beach, CA",204,3,1.1,1432,1299000
376,20200 Ruston Road,"Woodland Hills, CA",410,4,2.1,2364,1050000
